Reference, Value, Footprint, Datasheet
U1,nRF24LU1P,Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm,
USB1,AB2_USB,ab2_usb:AB2_USB_MICRO_SMD,
C4,10n,Capacitors_SMD:C_0805,
R1,10,Resistors_SMD:R_0805,
R4,22,Resistors_SMD:R_0805,
R5,22,Resistors_SMD:R_0805,
C1,10uF,Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_Reflow,
R2,10k,Resistors_SMD:R_0805,
U2,APA-102,CrumpPrints:APA102,
U4,APA-102,CrumpPrints:APA102,
U6,APA-102,CrumpPrints:APA102,
U3,APA-102,CrumpPrints:APA102,
U5,APA-102,CrumpPrints:APA102,
U7,APA-102,CrumpPrints:APA102,
R6,10k,Resistors_SMD:R_0805,
C5,10n,Capacitors_SMD:C_0805,
Y1,Crystal,Crystals:Crystal_SMD_0603_4Pads,
R3,1M,Resistors_SMD:R_0805,
C2,15pf,Capacitors_SMD:C_0805,
C3,15pf,Capacitors_SMD:C_0805,
C6,33nf,Capacitors_SMD:C_0805,
C7,33nf,Capacitors_SMD:C_0805,
R7,22k,Resistors_SMD:R_0805,
C8,100nf,Capacitors_SMD:C_0805,
C9,2.2nf,Capacitors_SMD:C_0805,
L1,6.8nh,Resistors_SMD:R_0805,
L2,6.8nh,Resistors_SMD:R_0805,
L3,4.7nh,Resistors_SMD:R_0805,
C10,1.2pf,Capacitors_SMD:C_0805,
C11,1.0pf,Capacitors_SMD:C_0805,
ANT1,ANTENNA,antennes:Ant_Microchip_2_4G,
U8,LD1117S33TR,SMD_Packages:SOT-223,
C12,10uF,Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_Reflow,
C13,0.1uF,Capacitors_SMD:C_0805,
R9,10k,Resistors_SMD:R_0805,
R10,22k,Resistors_SMD:R_0805,
R11,47k,Resistors_SMD:R_0805,
R8,100k,Resistors_SMD:R_0805,
SW1,SPST,Buttons_Switches_SMD:SW_SPST_PTS645,
SW2,SPST,Buttons_Switches_SMD:SW_SPST_PTS645,
SW3,SPST,Buttons_Switches_SMD:SW_SPST_PTS645,
